pco2_psig,velocidad_fts,conductividad_uscm,cl_ppm,ph_xx,temperatura_f,presion_psig,anos_y,agua_bwpd,crudo_bopd,fe_total,so4_ppm,n2_mol,metano_mol,velcorr_mpy,espesormin_mm,co2_mol,na_ppm,ba_ppm,mg_ppm,ca_ppm,sr_ppm,hco3_megl,sst_ppm,sdt_ppm,alcalinidad_ppm,patronflujo_xx,fault_xx,diametronom_in,diametroint_in,diametroext_in,durezatotal_ppm,espesor_mm,flujogas_mmscfd,velcorrcal_cmpy,desgaste_xx,vidaremanenteactual_yr,vidaremanenteinstalacion_yr
27.1823,,506.98,8.728,7.337800000000001,248.3,114.5,17.7741273100616,12940.2,59.79999999999927,1.18715,74.31,37.45,8.41,7.1717583361229575,3.87,23.74,54.99435,1.5592,0.0,2.14594,0.12185,4.0,61.54,271.295,0.0,0.0,0,6.0,6.065,6.625,0.0,7.11,1794.0,7.176670499366877,0.45569620253164556,21.244748858447487,21.230207620351358
47.86238700000001,,401.0,7.6,7.78,244.21,106.29,9.224657534246575,3822.0,78.0,0.862,91.0,29.69,5.12,7.383497540977858,3.76,45.03,60.01,1.38,0.0,4.1,0.19,4.0,26.0,305.0,0.0,1.0,0,3.0,3.068,3.5,0.0,5.49,2340.0,7.383497540977859,0.3151183970856103,20.048966664027233,20.048966664027233
23.94090232515775,0.3838393086105978,747.3063523752147,29.93233406560999,7.403262805145675,162.19,67.92,29.00821917824075,4284.015,165.9849999999997,1.24767147081626,106.0884031108126,42.96088709210551,4.737615638447732,1.8593698407544514,8.16,35.24867833503791,75.83422708333094,1.154043342176716,0.0,13.78348875492617,0.8119167139939338,4.352473132896119,72.98339532917315,384.5457054681137,0.0,2.0,0,12.0,12.0,12.75,0.0,9.53,4981.6,1.8593698407544512,0.14375655823714578,172.7788821127333,172.77888211273333
12.603236,1.747329678102972,977.0,69.7,7.78,204.83,25.42,29.03561643835618,30663.1329,980.967099999998,1.562,496.0,38.77,12.49,3.74234924729521,6.77,49.58,204.0,5.27,0.0,6.2,0.37,5.0,93.0,588.0,0.0,1.0,0,16.0,15.25,16.0,0.0,9.53,29463.5,3.742349247295209,0.28961175236096537,71.22142148104032,71.22142148104034
27.504324,3.210328020314902,802.0,116.2,7.81,214.51,61.08,29.03561643851472,77937.50559000002,954.5944099999906,1.862,119.0,53.6995,29.18,1.667786077589844,8.3,45.03,140.1,2.06,0.0,32.5,1.52,5.0,92.0,610.0,0.0,1.0,0,18.0,17.25,18.0,0.0,9.53,28671.6,1.6677860775898437,0.1290661070304301,195.93139547940845,195.93139547940848
70.989795,,401.0,7.6,7.78,248.84,157.65,8.849315068493151,18981.12,218.880000000001,0.862,91.0,29.69,5.12,12.501523609858362,3.21,45.03,60.01,1.38,0.0,4.1,0.19,4.0,26.0,305.0,0.0,0.0,0,6.0,6.065,6.625,0.0,6.02,6566.4,12.501523609858362,0.4667774086378737,10.109004046214599,10.109004046214599
20.84592,,652.0,36.4,7.81,248.82,82.2,18.79178082191781,14243.756,202.2440000000006,0.8970000000000001,101.0,46.93,15.59,5.279574052368689,3.5,25.36,74.17,0.93,0.0,19.6,0.97,2.0,76.0,289.0,0.0,0.0,0,4.0,4.026,4.5,0.0,6.02,6067.3,5.279574052368689,0.41860465116279066,26.099695585996965,26.099695585996965
20.637687,,458.0,6.2,7.48,247.94,77.79,10.73150684931507,8100.555,69.44499999999971,0.962,83.0,27.53,12.49,5.246160990151949,4.59,26.53,56.76,1.97,0.0,3.5,0.11,4.0,41.0,263.0,0.0,0.0,0,4.0,4.026,4.5,0.0,6.02,2083.3,5.246160990151951,0.23754152823920263,34.445885621228115,34.4458856212281
,,,,,248.53,150.65,10.0986301369863,18405.65,94.34999999999854,,,,,10.370159915577565,3.36,,,,,,,,,,,,0,4.0,4.026,4.5,,6.02,2830.5,10.370159915577563,0.4418604651162791,12.756164383561643,12.756164383561645
,,,,,244.19,100.08,28.29041095890411,6872.8,227.1999999999998,,,,,4.328001634891511,2.38,,,,,,,,,,,,0,4.0,4.026,4.5,,5.49,6816.0,4.328001634891513,0.5664845173041895,21.649896489450743,21.649896489450736
36.11408,,804.0,19.4,7.289999999999999,245.2,137.84,21.98356164383562,4947.0,153.0,1.124,129.0,46.62,13.96,2.525150925177223,4.61,26.2,96.07,1.13,0.0,26.6,1.49,5.0,46.0,484.0,0.0,1.0,0,6.0,6.065,6.625,0.0,6.02,4590.0,2.5251509251772224,0.23421926910298993,71.87533275041294,71.87533275041297
69.66273600000001,,802.0,8.5,7.63,248.93,159.12,8.813698630136987,12301.908,58.09199999999873,0.984,119.0,35.61,3.25,15.008848171255561,2.13,43.78,57.0,1.27,0.0,12.7,0.41,3.0,15.0,279.0,0.0,0.0,0,3.0,3.068,3.5,0.0,5.49,1742.8,15.008848171255561,0.6120218579234973,5.587255381604696,5.587255381604696
35.175,4.717,588.8,9.402459999999998,6.5091,245.58,67.0,19.74264202600958,13709.70669,78.59330999999838,0.213,11.53063,42.208,39.838,5.241063248733071,2.86,52.5,82.22399999999999,0.2649,8.232,16.771,0.4689,2.8097,28.57,412.85,280.97,2.0,0,6.0,3.068,6.625,41.837,5.49,2.357799299999951e-09,5.24465301808152,0.47905282331511845,21.48388978592635,21.46918486478608
26.703,8.915,437.0,10.633,6.77,248.2,69.0,9.700205338809035,6637.917159999999,23.98284000000058,0.105,8.941,19.2,40.7,6.813923873402364,3.81,38.7,45.5,0.27,4.9,16.7,0.4320000000000001,2.04,68.0,306.7,204.0,3.0,0,3.0,3.068,3.5,41.8,5.49,7.194852000000174e-10,6.818590944548529,0.30601092896174864,22.013747553816042,21.99867996479906
15.0,0.666,675.0,23.803,6.97,212.43,50.0,12.68720054757016,119.856,379.544,0.061,6.208,7.4,62.1,6.946261626662225,3.25,30.0,79.4,0.22,7.0,30.8,0.851,3.19,14.0,473.3,319.0,2.0,0,3.0,2.067,3.5,77.0,5.49,1.138632e-08,6.9510193401051446,0.4080145719489982,18.42037671232877,18.407768651608492
10.744,13.527,495.0,4.505,6.59,248.35,68.0,0.134154688569473,17369.87437,47.02563000000009,0.234,2.832,2.2,81.8,8.74741121227034,4.15,15.8,65.0,0.24,6.0,7.7,0.111,2.43,20.0,346.7,243.0,3.0,0,4.0,3.068,4.5,19.2,6.02,1.410768900000003e-09,548.7847501205204,0.31063122923588027,18.67819207384075,0.29772297195899095
10.744,13.527,495.0,4.505,6.59,248.35,68.0,10.47775496235455,17369.87437,47.02563000000009,0.234,2.832,2.2,81.8,14.60663869851387,2.13,15.8,65.0,0.24,6.0,7.7,0.111,2.43,20.0,346.7,243.0,3.0,0,4.0,3.068,4.5,19.2,6.02,1.410768900000003e-09,14.616643245567651,0.6461794019933554,5.741106454907211,5.737176881700565
11.85,5.999,495.0,4.505,6.59,246.92,75.0,11.37303216974675,17440.5,59.5,0.234,2.832,2.2,81.8,4.289575743330591,5.87,15.8,65.0,0.24,6.0,7.7,0.111,2.43,20.0,346.7,243.0,2.0,0,6.0,3.068,6.625,19.2,7.11,1.785e-09,4.2925138089082155,0.17440225035161747,53.87534246575343,53.8384668035592
